"","ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
"1",2015,"UF",13,0.711,NA,0.649,0.701
"2",2010,"MUNICIPIO",130002,NA,0.527,NA,NA
"3",2010,"MUNICIPIO",130006,NA,0.56,NA,NA
"4",2010,"MUNICIPIO",130008,NA,0.594,NA,NA
"5",2010,"MUNICIPIO",130010,NA,0.561,NA,NA
"6",2010,"MUNICIPIO",130014,NA,0.637,NA,NA
"7",2010,"MUNICIPIO",130020,NA,0.45,NA,NA
"8",2010,"MUNICIPIO",130030,NA,0.577,NA,NA
"9",2010,"MUNICIPIO",130040,NA,0.5,NA,NA
"10",2010,"MUNICIPIO",130050,NA,0.574,NA,NA
"11",2010,"MUNICIPIO",130060,NA,0.574,NA,NA
"12",2010,"MUNICIPIO",130063,NA,0.506,NA,NA
"13",2010,"MUNICIPIO",130068,NA,0.565,NA,NA
"14",2010,"MUNICIPIO",130070,NA,0.588,NA,NA
"15",2010,"MUNICIPIO",130080,NA,0.56,NA,NA
"16",2010,"MUNICIPIO",130083,NA,0.569,NA,NA
"17",2010,"MUNICIPIO",130090,NA,0.53,NA,NA
"18",2010,"MUNICIPIO",130100,NA,0.549,NA,NA
"19",2010,"MUNICIPIO",130110,NA,0.557,NA,NA
"20",2010,"MUNICIPIO",130115,NA,0.568,NA,NA
"21",2010,"MUNICIPIO",130120,NA,0.586,NA,NA
"22",2010,"MUNICIPIO",130130,NA,0.563,NA,NA
"23",2010,"MUNICIPIO",130140,NA,0.563,NA,NA
"24",2010,"MUNICIPIO",130150,NA,0.509,NA,NA
"25",2010,"MUNICIPIO",130160,NA,0.53,NA,NA
"26",2010,"MUNICIPIO",130165,NA,0.532,NA,NA
"27",2010,"MUNICIPIO",130170,NA,0.605,NA,NA
"28",2010,"MUNICIPIO",130180,NA,0.481,NA,NA
"29",2010,"MUNICIPIO",130185,NA,0.613,NA,NA
"30",2010,"MUNICIPIO",130190,NA,0.644,NA,NA
"31",2010,"MUNICIPIO",130195,NA,0.477,NA,NA
"32",2010,"MUNICIPIO",130200,NA,0.654,NA,NA
"33",2010,"MUNICIPIO",130210,NA,0.522,NA,NA
"34",2010,"MUNICIPIO",130220,NA,0.522,NA,NA
"35",2010,"MUNICIPIO",130230,NA,0.516,NA,NA
"36",2010,"MUNICIPIO",130240,NA,0.531,NA,NA
"37",2010,"MUNICIPIO",130250,NA,0.614,NA,NA
"38",2010,"MUNICIPIO",130255,NA,0.596,NA,NA
"39",2010,"MUNICIPIO",130260,NA,0.737,NA,NA
"40",2010,"MUNICIPIO",130270,NA,0.582,NA,NA
"41",2010,"MUNICIPIO",130280,NA,0.498,NA,NA
"42",2010,"MUNICIPIO",130290,NA,0.588,NA,NA
"43",2010,"MUNICIPIO",130300,NA,0.586,NA,NA
"44",2010,"MUNICIPIO",130310,NA,0.558,NA,NA
"45",2010,"MUNICIPIO",130320,NA,0.57,NA,NA
"46",2010,"MUNICIPIO",130330,NA,0.554,NA,NA
"47",2010,"MUNICIPIO",130340,NA,0.658,NA,NA
"48",2010,"MUNICIPIO",130350,NA,0.496,NA,NA
"49",2010,"MUNICIPIO",130353,NA,0.647,NA,NA
"50",2010,"MUNICIPIO",130356,NA,0.611,NA,NA
"51",2010,"MUNICIPIO",130360,NA,0.479,NA,NA
"52",2010,"MUNICIPIO",130370,NA,0.49,NA,NA
"53",2010,"MUNICIPIO",130380,NA,0.609,NA,NA
"54",2010,"MUNICIPIO",130390,NA,0.521,NA,NA
"55",2010,"MUNICIPIO",130395,NA,0.577,NA,NA
"56",2010,"MUNICIPIO",130400,NA,0.632,NA,NA
"57",2010,"MUNICIPIO",130406,NA,0.616,NA,NA
"58",2010,"MUNICIPIO",130410,NA,0.502,NA,NA
"59",2010,"MUNICIPIO",130420,NA,0.639,NA,NA
"60",2010,"MUNICIPIO",130423,NA,0.548,NA,NA
"61",2010,"MUNICIPIO",130426,NA,0.527,NA,NA
"62",2010,"MUNICIPIO",130430,NA,0.62,NA,NA
"63",2010,"MUNICIPIO",130440,NA,0.588,NA,NA
