"","ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGCC","TGSC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE","TFG","TMG","RMM","TMM","TMM_P","TMN","TMN_P","TMN_T","TMI"
"1",2015,"UF",13,3938336,3483985,1753179,1730806,1156013,1895559,432413,568340,943788,218678,"0.711",NA,"0.649","0.701",80097,0,68958,1432,19762,22557,16849,12009,5812,1511,118,19,78618,"19","24","29","24.63","6.67",1502,6115,25145,36877,3668,5071,3140,286,42,68487,6036,32005,48092,27522,52575,1340,78757,42,351,801,74285,0,0,75479,0,4618,NA,NA,NA,NA,NA,686,28065,8924,7796,28853,74965,5132,50181,29827,76973,1359,125,19482,3232,28142,2762,12959,444,756,1180,125,7991,75182,154,3193,530,1037,41038,39049,3184,292,42,69193,6108,5996,68612,5153,NA,NA,NA,NA,NA,5784,60871,9506,739,74864,NA,NA,395,78589,16675,NA,NA,2989,13686,971,2586,3107,1486,5536,10155,6497,1182,NA,1146,1047,99,423,5,172,5,1,725,194,94,37,NA,2,35,22,190,1256,6,12,21,15,NA,5,"523.891","879.906",84.8675761929586,4.23402167819099,117.357703784162,9.95986386773301,20.1316397326518,14.307651971984,13.0716506236189,1.23600134836511,19.5887486422712
"3",2015,"MUNICIPIO",1300029,15545,14088,7416,6672,6283,6498,1307,3073,3009,590,NA,"0.527",NA,NA,342,0,324,8,131,105,54,28,12,3,1,0,334,"18","21","25","22.2309941520468","6.07739705963775",3,43,177,107,6,6,4,0,0,287,44,133,209,109,233,3,339,0,0,6,318,0,0,324,0,18,"38",39,"40","38.905604719764","2.11152049245013",10,124,58,29,86,275,67,273,68,333,7,1,83,8,163,10,33,1,6,2,1,31,328,1,13,0,0,172,170,4,0,0,287,44,17,314,10,"2941","3200","3500","3206.20234604106","469.594928817327",25,283,26,4,336,"9","0.875763468019421",1,341,36,NA,NA,6,30,3,5,6,3,13,23,13,4,NA,4,4,NA,3,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"2.181","",113.659022931206,2.31585718880669,NA,NA,NA,11.6959064327485,11.6959064327485,NA,20.4678362573099
"4",2015,"MUNICIPIO",1300060,10847,9467,4902,4565,3718,4819,930,1820,2317,428,NA,"0.56",NA,NA,214,0,178,5,61,62,45,24,14,3,0,0,209,"19","23","28","23.7336448598131","6.4231892671434",10,33,72,92,1,6,1,0,0,135,77,148,66,68,146,1,213,1,0,2,199,0,0,202,0,12,"38",39,"40","38.588785046729","2.63224237588584",0,28,30,20,134,197,17,186,28,209,4,0,52,2,104,3,15,1,3,0,0,32,175,4,27,2,6,112,102,1,0,0,135,77,9,192,12,"2900","3200","3500","3206.35211267606","481.006043736544",14,168,26,3,178,"9.40883977900553","0.936144149493582",2,212,36,NA,NA,6,30,1,4,7,6,12,27,9,1,NA,8,8,NA,1,NA,1,NA,NA,5,2,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,"","",92.360811394044,3.31889001567254,467.289719626168,43.1592576607682,86.3185153215365,37.3831775700935,37.3831775700935,NA,42.0560747663551
"5",2015,"MUNICIPIO",1300086,12320,10214,5446,4768,3915,5223,1076,1885,2389,494,NA,"0.594",NA,NA,163,0,156,3,57,46,32,13,8,2,2,0,160,"18","22","27","23.1901840490798","6.6179256636331",4,19,56,78,3,2,2,0,0,153,8,92,71,55,108,4,159,0,1,2,153,0,0,156,0,7,"38",39,"40","38.7975460122699","2.53654647401642",0,64,18,20,51,109,54,117,46,160,2,0,48,3,63,1,26,0,2,3,0,15,152,0,11,0,0,85,78,2,0,0,153,8,12,138,13,"2956","3300","3700","3281.00613496933","624.725712622358",13,116,26,1,157,"9.58860759493671","0.659373827989473",3,158,26,NA,NA,2,24,3,4,6,2,9,14,12,2,NA,2,2,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"","",68.2293846797823,2.11038961038961,NA,NA,NA,12.2699386503067,12.2699386503067,NA,24.5398773006135
"6",2015,"MUNICIPIO",1300102,19292,16317,8511,7806,6237,8372,1708,3012,4005,789,NA,"0.561",NA,NA,255,0,223,8,84,66,55,29,10,3,0,0,247,"18","22","27","23.1176470588235","6.23442013677866",3,13,107,100,6,6,2,1,1,246,0,172,83,92,163,7,248,1,2,4,221,0,0,228,0,27,"37",39,"40","38.1755102040816","3.10436832704118",3,96,18,40,86,224,31,156,99,252,3,0,67,3,86,0,27,1,1,5,0,53,238,1,15,1,0,144,111,2,1,1,246,0,19,218,18,"2955","3300","3600","3231.62352941176","586.955745084995",19,170,41,0,250,"8.916","0.470989729507136",0,251,60,NA,NA,4,56,NA,10,16,6,24,39,21,3,NA,2,2,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"","",63.6704119850187,3.11009744972009,NA,NA,NA,7.84313725490196,7.84313725490196,NA,11.7647058823529
"7",2015,"MUNICIPIO",1300144,20648,18007,9551,8456,5532,10189,2286,2763,4811,882,NA,"0.637",NA,NA,204,0,190,1,73,61,40,21,5,3,0,0,203,"18","22","27","23.0098039215686","5.97283686843449",2,13,96,78,6,8,17,3,0,176,2,174,30,66,138,2,202,0,0,0,194,0,0,194,0,10,"39",39,"40","39.1890547263682","1.49468377993141",1,50,10,10,128,200,4,131,73,147,32,23,46,5,68,10,8,5,26,2,23,6,201,1,1,1,0,98,106,17,3,0,177,2,13,175,16,"2993.75","3295","3645","3277.05392156863","511.531807595178",14,161,24,3,200,"8.70935960591133","0.737443458979685",3,200,48,NA,NA,15,33,NA,5,13,5,10,34,14,7,NA,4,4,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"","",42.4028268551237,2.32468035645099,NA,NA,NA,19.6078431372549,19.6078431372549,NA,24.5098039215686
"8",2015,"MUNICIPIO",1300201,18133,15153,7852,7301,5948,7966,1239,2956,3827,518,NA,"0.45",NA,NA,439,0,257,17,117,122,88,55,25,10,4,1,421,"19","23","28","24.1958997722096","7.10571713667671",138,53,90,83,6,12,32,3,0,191,207,331,108,110,329,3,436,1,0,9,402,0,0,412,0,27,"37",39,"40","38.4429223744292","2.60085932787385",0,179,54,35,156,356,83,385,54,437,2,0,94,1,240,3,28,0,2,2,0,67,270,0,165,4,0,226,213,32,3,0,191,207,22,396,21,"2900","3200","3500","3197.45102505695","474.064218086486",36,333,55,5,263,"9.33955223880597","0.944332089171582",2,433,52,NA,NA,8,44,7,5,4,7,21,27,25,7,NA,15,10,5,11,NA,NA,NA,NA,3,12,2,2,NA,NA,NA,NA,4,9,NA,2,NA,NA,NA,NA,"","",114.711262085184,2.8676997738929,455.580865603645,52.2602560752548,104.52051215051,34.1685649202733,22.7790432801822,11.3895216400911,59.2255125284738
"9",2015,"MUNICIPIO",1300300,37033,32135,16989,15146,12714,15266,4155,6114,7159,1873,NA,"0.577",NA,NA,829,0,702,26,235,257,147,107,43,12,2,0,803,"19","22","28","23.6127864897467","6.54976347096705",12,84,350,357,7,10,16,13,1,457,333,112,717,231,598,11,818,0,2,2,777,0,0,781,0,48,"38",39,"40","38.7793939393939","2.12756119125539",4,387,76,69,220,738,91,573,254,815,11,2,151,41,344,51,120,5,5,9,2,95,739,0,71,17,2,409,419,16,13,1,457,333,50,729,50,"2940","3210","3525","3216.49095295537","509.740590915367",67,638,104,9,724,"9.52523874488404","0.889205978476295",7,821,146,NA,NA,25,121,2,17,32,10,60,86,60,8,NA,7,7,NA,5,NA,NA,NA,NA,4,1,1,1,NA,NA,NA,NA,2,9,NA,NA,1,NA,NA,NA,"6.421","",115.798295851376,3.94242972484001,120.627261761158,13.9684313451599,27.9368626903199,8.44390832328106,8.44390832328106,NA,14.475271411339
"10",2015,"MUNICIPIO",1300409,27433,25718,13816,11902,8738,13921,3059,4280,6279,1343,NA,"0.5",NA,NA,505,0,247,21,152,157,83,49,33,8,1,1,483,"18","22","27","23.2732673267327","6.79610782472581",40,28,109,141,2,3,10,0,0,143,318,344,161,150,355,7,498,0,0,3,477,0,0,480,0,25,"39",40,"40","39.182902584493","1.86985573842561",5,229,84,26,75,473,32,424,79,478,6,0,115,12,243,13,50,1,5,6,0,38,296,0,19,2,188,266,239,10,0,0,152,322,28,454,21,"2750","3050","3405","3092.63220675944","478.266884766491",103,342,41,4,297,"9.77740863787376","0.95234163816973",1,500,84,NA,NA,26,58,8,4,16,6,24,49,35,3,NA,29,28,1,6,NA,NA,NA,NA,4,25,1,NA,NA,NA,1,NA,2,4,NA,NA,NA,NA,NA,NA,"10.500","",80.4268195572543,3.06200561367696,198.019801980198,15.9261028826246,31.8522057652492,57.4257425742574,55.4455445544554,1.98019801980198,69.3069306930693
"11",2015,"MUNICIPIO",1300508,30658,27355,14312,13043,11954,12187,3214,5901,5625,1517,NA,"0.574",NA,NA,815,0,662,14,219,223,167,117,57,17,1,0,801,"19","23","29","24.3349693251534","6.71255684360772",28,142,334,302,4,5,11,8,0,562,232,626,189,224,591,14,801,0,0,2,771,0,0,773,0,42,"38",39,"40","38.9226993865031","1.72498978430536",26,363,93,77,242,604,211,653,162,798,11,6,180,18,429,27,82,2,8,14,6,49,650,0,160,5,0,435,380,11,8,0,562,232,44,721,50,"2950","3216","3500","3209.15214723926","495.574115643166",64,657,80,9,655,"9.60090361445783","0.762269630240848",6,809,101,NA,NA,16,85,7,14,18,9,37,64,37,5,NA,8,8,NA,7,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"","",144.888888888889,3.29440928958184,NA,NA,NA,9.8159509202454,9.8159509202454,NA,18.4049079754601
