"","ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
"1",2015,"UF",13,"3938336",3483985,1753179,1730806,1156013,1895559,432413,568340,943788,218678
"2",2015,"MUNICIPIO",1300029,"15545",14088,7416,6672,6283,6498,1307,3073,3009,590
"3",2015,"MUNICIPIO",1300060,"10847",9467,4902,4565,3718,4819,930,1820,2317,428
"4",2015,"MUNICIPIO",1300086,"12320",10214,5446,4768,3915,5223,1076,1885,2389,494
"5",2015,"MUNICIPIO",1300102,"19292",16317,8511,7806,6237,8372,1708,3012,4005,789
"6",2015,"MUNICIPIO",1300144,"20648",18007,9551,8456,5532,10189,2286,2763,4811,882
"7",2015,"MUNICIPIO",1300201,"18133",15153,7852,7301,5948,7966,1239,2956,3827,518
"8",2015,"MUNICIPIO",1300300,"37033",32135,16989,15146,12714,15266,4155,6114,7159,1873
"9",2015,"MUNICIPIO",1300409,"27433",25718,13816,11902,8738,13921,3059,4280,6279,1343
"10",2015,"MUNICIPIO",1300508,"30658",27355,14312,13043,11954,12187,3214,5901,5625,1517
"11",2015,"MUNICIPIO",1300607,"39484",33411,17260,16151,13649,16203,3559,6620,7855,1676
"12",2015,"MUNICIPIO",1300631,"18171",15486,8146,7340,6875,6933,1678,3383,3249,708
"13",2015,"MUNICIPIO",1300680,"17668",14979,7945,7034,6208,7127,1644,3034,3272,728
"14",2015,"MUNICIPIO",1300706,"33498",30632,15947,14685,11015,15549,4068,5380,7376,1929
"15",2015,"MUNICIPIO",1300805,"39292",34961,18237,16724,13859,17037,4065,6792,8056,1876
"16",2015,"MUNICIPIO",1300839,"12420",10975,5812,5163,4233,5503,1239,2081,2560,522
"17",2015,"MUNICIPIO",1300904,"15130",12738,6872,5866,4200,6845,1693,2007,3124,735
"18",2015,"MUNICIPIO",1301001,"27880",25774,13259,12515,10581,12496,2697,5198,6067,1250
"19",2015,"MUNICIPIO",1301100,"36435",32734,16990,15744,11824,16696,4214,5811,8070,1863
"20",2015,"MUNICIPIO",1301159,"27981",23930,12688,11242,7859,12461,3610,3751,5886,1605
"21",2015,"MUNICIPIO",1301209,"83078",75965,39476,36489,28113,40028,7824,13580,19253,3656
"22",2015,"MUNICIPIO",1301308,"26777",23206,12107,11099,8655,12069,2482,4225,5735,1139
"23",2015,"MUNICIPIO",1301407,"34025",30665,15779,14886,12408,15007,3250,6105,7193,1588
"24",2015,"MUNICIPIO",1301506,"18786",16338,8392,7946,6778,8097,1463,3385,3849,712
"25",2015,"MUNICIPIO",1301605,"20742",22817,11824,10993,9259,11139,2419,4555,5306,1132
"26",2015,"MUNICIPIO",1301654,"15826",13974,7265,6709,5882,6817,1275,2857,3249,603
"27",2015,"MUNICIPIO",1301704,"51302",44227,23204,21023,15690,23078,5459,7569,11004,2450
"28",2015,"MUNICIPIO",1301803,"26860",22254,11355,10899,9998,10407,1849,4976,5052,871
"29",2015,"MUNICIPIO",1301852,"45984",40781,20996,19785,14858,20387,5536,7358,9887,2540
"30",2015,"MUNICIPIO",1301902,"97122",86839,44426,42413,30925,43867,12047,15166,21493,5754
"31",2015,"MUNICIPIO",1301951,"8179",8038,4236,3802,3389,3963,686,1639,1855,308
"32",2015,"MUNICIPIO",1302009,"8953",8211,4299,3912,2974,4076,1161,1434,1951,527
"33",2015,"MUNICIPIO",1302108,"5125",7326,3835,3491,3016,3750,560,1463,1785,243
"34",2015,"MUNICIPIO",1302207,"13198",10802,5548,5254,4557,5292,953,2283,2532,439
"35",2015,"MUNICIPIO",1302306,"16585",17992,9432,8560,8194,8146,1652,3944,3865,751
"36",2015,"MUNICIPIO",1302405,"43263",37701,19638,18063,14358,18856,4487,7046,8914,2103
"37",2015,"MUNICIPIO",1302504,"94175",85141,43461,41680,31388,42976,10777,15336,21206,5138
"38",2015,"MUNICIPIO",1302553,"28413",22801,11744,11057,8637,11307,2857,4300,5536,1221
"39",2015,"MUNICIPIO",1302603,"2057711",1802014,879742,922272,508962,1055900,237152,251209,542331,128732
"40",2015,"MUNICIPIO",1302702,"53053",47017,24684,22333,17557,23817,5643,8542,11266,2525
"41",2015,"MUNICIPIO",1302801,"18423",17528,9407,8121,7505,8687,1336,3609,3950,562
"42",2015,"MUNICIPIO",1302900,"59983",52236,27283,24953,21152,24479,6605,10422,11502,3029
"43",2015,"MUNICIPIO",1303007,"20358",18278,9496,8782,6782,9007,2489,3393,4213,1176
"44",2015,"MUNICIPIO",1303106,"35156",30696,15748,14948,11576,15545,3575,5757,7542,1649
"45",2015,"MUNICIPIO",1303205,"17671",14723,7607,7116,5328,7477,1918,2648,3588,880
"46",2015,"MUNICIPIO",1303304,"24315",21451,11429,10022,7827,10993,2631,3805,5092,1125
"47",2015,"MUNICIPIO",1303403,"111575",102033,52304,49729,38281,50400,13352,18768,24546,6415
"48",2015,"MUNICIPIO",1303502,"19378",18166,9490,8676,7599,8881,1686,3744,4156,776
"49",2015,"MUNICIPIO",1303536,"32812",27175,14350,12825,9416,14272,3487,4598,6776,1451
"50",2015,"MUNICIPIO",1303569,"30530",25719,13406,12313,8556,14053,3110,4206,6765,1342
"51",2015,"MUNICIPIO",1303601,"22404",18146,9322,8824,7998,8293,1855,4051,3926,847
"52",2015,"MUNICIPIO",1303700,"23688",24481,12592,11889,10452,11880,2149,5151,5736,1002
"53",2015,"MUNICIPIO",1303809,"43094",37896,19463,18433,14412,18708,4776,7222,8860,2351
"54",2015,"MUNICIPIO",1303908,"36536",31422,16266,15156,12899,15410,3113,6357,7342,1457
"55",2015,"MUNICIPIO",1303957,"12781",10705,5680,5025,4285,5255,1165,2025,2488,512
"56",2015,"MUNICIPIO",1304005,"9081",8444,4498,3946,3339,3963,1142,1614,1822,510
"57",2015,"MUNICIPIO",1304062,"61028",52272,26359,25913,20212,26603,5457,10052,13238,2623
"58",2015,"MUNICIPIO",1304104,"18152",19077,10075,9002,7590,9597,1890,3613,4554,835
"59",2015,"MUNICIPIO",1304203,"62444",61453,31518,29935,24002,30823,6628,11768,14982,3185
"60",2015,"MUNICIPIO",1304237,"18478",17079,8777,8302,7182,8387,1510,3631,3989,682
"61",2015,"MUNICIPIO",1304260,"13121",11891,6332,5559,5104,5714,1073,2410,2682,467
"62",2015,"MUNICIPIO",1304302,"17163",17094,8854,8240,6781,8085,2228,3364,3837,1039
"63",2015,"MUNICIPIO",1304401,"21140",17837,9529,8308,6795,8777,2265,3299,4004,1005
