"","ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
"1",2015,"UF",13,16675,NA,NA,2989,13686,971,2586,3107,1486,5536,10155,6497,1182,NA,1146,1047,99,423,5,172,5,1,725,194,94,37,NA,2,35,22,190,1256,6,12,21,15,NA,5
"2",2015,"MUNICIPIO",130000,4,NA,NA,NA,4,NA,3,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2015,"MUNICIPIO",130002,36,NA,NA,6,30,3,5,6,3,13,23,13,4,NA,4,4,NA,3,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"4",2015,"MUNICIPIO",130006,36,NA,NA,6,30,1,4,7,6,12,27,9,1,NA,8,8,NA,1,NA,1,NA,NA,5,2,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA
"5",2015,"MUNICIPIO",130008,26,NA,NA,2,24,3,4,6,2,9,14,12,2,NA,2,2,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"6",2015,"MUNICIPIO",130010,60,NA,NA,4,56,NA,10,16,6,24,39,21,3,NA,2,2,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"7",2015,"MUNICIPIO",130014,48,NA,NA,15,33,NA,5,13,5,10,34,14,7,NA,4,4,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"8",2015,"MUNICIPIO",130020,52,NA,NA,8,44,7,5,4,7,21,27,25,7,NA,15,10,5,11,NA,NA,NA,NA,3,12,2,2,NA,NA,NA,NA,4,9,NA,2,NA,NA,NA,NA
"9",2015,"MUNICIPIO",130030,146,NA,NA,25,121,2,17,32,10,60,86,60,8,NA,7,7,NA,5,NA,NA,NA,NA,4,1,1,1,NA,NA,NA,NA,2,9,NA,NA,1,NA,NA,NA
"10",2015,"MUNICIPIO",130040,84,NA,NA,26,58,8,4,16,6,24,49,35,3,NA,29,28,1,6,NA,NA,NA,NA,4,25,1,NA,NA,NA,1,NA,2,4,NA,NA,NA,NA,NA,NA
