"","ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGCC","TGSC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"1",2015,"UF",13,80097,0,68958,1432,19762,22557,16849,12009,5812,1511,118,19,78618,19,24,29,24.63,6.67,1502,6115,25145,36877,3668,5071,3140,286,42,68487,6036,32005,48092,27522,52575,1340,78757,42,351,801,74285,0,0,75479,0,4618,NA,NA,NA,NA,NA,686,28065,8924,7796,28853,74965,5132,50181,29827,76973,1359,125,19482,3232,28142,2762,12959,444,756,1180,125,7991,75182,154,3193,530,1037,41038,39049,3184,292,42,69193,6108,5996,68612,5153,NA,NA,NA,NA,NA,5784,60871,9506,739,74864,NA,NA,395,78589
"2",2015,"MUNICIPIO",130000,18,0,2,0,16,1,1,0,0,0,0,0,18,15,15.5,18,16.7222222222222,2.67462049106819,0,0,2,1,0,0,0,0,0,3,0,1,17,17,1,13,5,0,0,0,4,0,0,4,0,14,38.5,39,39.25,38.75,1.25830573921179,0,0,0,0,2,0,18,2,2,5,0,0,2,1,0,0,1,0,0,0,0,0,18,0,0,0,0,10,8,0,0,0,3,0,4,12,2,2702.5,3051,3334,2940.05555555556,796.680574577099,0,3,1,1,17,9.38888888888889,1.88301663136227,0,15
"3",2015,"MUNICIPIO",130002,342,0,324,8,131,105,54,28,12,3,1,0,334,18,21,25,22.2309941520468,6.07739705963775,3,43,177,107,6,6,4,0,0,287,44,133,209,109,233,3,339,0,0,6,318,0,0,324,0,18,38,39,40,38.905604719764,2.11152049245013,10,124,58,29,86,275,67,273,68,333,7,1,83,8,163,10,33,1,6,2,1,31,328,1,13,0,0,172,170,4,0,0,287,44,17,314,10,2941,3200,3500,3206.20234604106,469.594928817327,25,283,26,4,336,9,0.875763468019421,1,341
"4",2015,"MUNICIPIO",130006,214,0,178,5,61,62,45,24,14,3,0,0,209,19,23,28,23.7336448598131,6.4231892671434,10,33,72,92,1,6,1,0,0,135,77,148,66,68,146,1,213,1,0,2,199,0,0,202,0,12,38,39,40,38.588785046729,2.63224237588584,0,28,30,20,134,197,17,186,28,209,4,0,52,2,104,3,15,1,3,0,0,32,175,4,27,2,6,112,102,1,0,0,135,77,9,192,12,2900,3200,3500,3206.35211267606,481.006043736544,14,168,26,3,178,9.40883977900553,0.936144149493582,2,212
"5",2015,"MUNICIPIO",130008,163,0,156,3,57,46,32,13,8,2,2,0,160,18,22,27,23.1901840490798,6.6179256636331,4,19,56,78,3,2,2,0,0,153,8,92,71,55,108,4,159,0,1,2,153,0,0,156,0,7,38,39,40,38.7975460122699,2.53654647401642,0,64,18,20,51,109,54,117,46,160,2,0,48,3,63,1,26,0,2,3,0,15,152,0,11,0,0,85,78,2,0,0,153,8,12,138,13,2956,3300,3700,3281.00613496933,624.725712622358,13,116,26,1,157,9.58860759493671,0.659373827989473,3,158
"6",2015,"MUNICIPIO",130010,255,0,223,8,84,66,55,29,10,3,0,0,247,18,22,27,23.1176470588235,6.23442013677866,3,13,107,100,6,6,2,1,1,246,0,172,83,92,163,7,248,1,2,4,221,0,0,228,0,27,37,39,40,38.1755102040816,3.10436832704118,3,96,18,40,86,224,31,156,99,252,3,0,67,3,86,0,27,1,1,5,0,53,238,1,15,1,0,144,111,2,1,1,246,0,19,218,18,2955,3300,3600,3231.62352941176,586.955745084995,19,170,41,0,250,8.916,0.470989729507136,0,251
"7",2015,"MUNICIPIO",130014,204,0,190,1,73,61,40,21,5,3,0,0,203,18,22,27,23.0098039215686,5.97283686843449,2,13,96,78,6,8,17,3,0,176,2,174,30,66,138,2,202,0,0,0,194,0,0,194,0,10,39,39,40,39.1890547263682,1.49468377993141,1,50,10,10,128,200,4,131,73,147,32,23,46,5,68,10,8,5,26,2,23,6,201,1,1,1,0,98,106,17,3,0,177,2,13,175,16,2993.75,3295,3645,3277.05392156863,511.531807595178,14,161,24,3,200,8.70935960591133,0.737443458979685,3,200
"8",2015,"MUNICIPIO",130020,439,0,257,17,117,122,88,55,25,10,4,1,421,19,23,28,24.1958997722096,7.10571713667671,138,53,90,83,6,12,32,3,0,191,207,331,108,110,329,3,436,1,0,9,402,0,0,412,0,27,37,39,40,38.4429223744292,2.60085932787385,0,179,54,35,156,356,83,385,54,437,2,0,94,1,240,3,28,0,2,2,0,67,270,0,165,4,0,226,213,32,3,0,191,207,22,396,21,2900,3200,3500,3197.45102505695,474.064218086486,36,333,55,5,263,9.33955223880597,0.944332089171582,2,433
"9",2015,"MUNICIPIO",130030,829,0,702,26,235,257,147,107,43,12,2,0,803,19,22,28,23.6127864897467,6.54976347096705,12,84,350,357,7,10,16,13,1,457,333,112,717,231,598,11,818,0,2,2,777,0,0,781,0,48,38,39,40,38.7793939393939,2.12756119125539,4,387,76,69,220,738,91,573,254,815,11,2,151,41,344,51,120,5,5,9,2,95,739,0,71,17,2,409,419,16,13,1,457,333,50,729,50,2940,3210,3525,3216.49095295537,509.740590915367,67,638,104,9,724,9.52523874488404,0.889205978476295,7,821
"10",2015,"MUNICIPIO",130040,505,0,247,21,152,157,83,49,33,8,1,1,483,18,22,27,23.2732673267327,6.79610782472581,40,28,109,141,2,3,10,0,0,143,318,344,161,150,355,7,498,0,0,3,477,0,0,480,0,25,39,40,40,39.182902584493,1.86985573842561,5,229,84,26,75,473,32,424,79,478,6,0,115,12,243,13,50,1,5,6,0,38,296,0,19,2,188,266,239,10,0,0,152,322,28,454,21,2750,3050,3405,3092.63220675944,478.266884766491,103,342,41,4,297,9.77740863787376,0.95234163816973,1,500
