"","ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
"1",2015,"UF",13,"523.891","879.906"
"2",2015,"MUNICIPIO",130002,"2.181",""
"3",2015,"MUNICIPIO",130006,"",""
"4",2015,"MUNICIPIO",130008,"",""
"5",2015,"MUNICIPIO",130010,"",""
"6",2015,"MUNICIPIO",130014,"",""
"7",2015,"MUNICIPIO",130020,"",""
"8",2015,"MUNICIPIO",130030,"6.421",""
"9",2015,"MUNICIPIO",130040,"10.500",""
"10",2015,"MUNICIPIO",130050,"",""
"11",2015,"MUNICIPIO",130060,"15.842",""
"12",2015,"MUNICIPIO",130063,"11.230",""
"13",2015,"MUNICIPIO",130068,"",""
"14",2015,"MUNICIPIO",130070,"",""
"15",2015,"MUNICIPIO",130080,"38.242",""
"16",2015,"MUNICIPIO",130083,"",""
"17",2015,"MUNICIPIO",130090,"8.930",""
"18",2015,"MUNICIPIO",130100,"22.507",""
"19",2015,"MUNICIPIO",130110,"",""
"20",2015,"MUNICIPIO",130115,"1.633",""
"21",2015,"MUNICIPIO",130120,"",""
"22",2015,"MUNICIPIO",130130,"9.522",""
"23",2015,"MUNICIPIO",130140,"14.305",""
"24",2015,"MUNICIPIO",130150,"11.508",""
"25",2015,"MUNICIPIO",130160,"19.045",""
"26",2015,"MUNICIPIO",130165,"12.000","650"
"27",2015,"MUNICIPIO",130170,"",""
"28",2015,"MUNICIPIO",130180,"",""
"29",2015,"MUNICIPIO",130185,"",""
"30",2015,"MUNICIPIO",130190,"",""
"31",2015,"MUNICIPIO",130195,"1.361",""
"32",2015,"MUNICIPIO",130200,"",""
"33",2015,"MUNICIPIO",130210,"",""
"34",2015,"MUNICIPIO",130220,"4.569",""
"35",2015,"MUNICIPIO",130230,"",""
"36",2015,"MUNICIPIO",130240,"",""
"37",2015,"MUNICIPIO",130250,"66.559",""
"38",2015,"MUNICIPIO",130255,"6.293",""
"39",2015,"MUNICIPIO",130260,"1.757.691","213.935"
"40",2015,"MUNICIPIO",130270,"28.500",""
"41",2015,"MUNICIPIO",130280,"",""
"42",2015,"MUNICIPIO",130290,"",""
"43",2015,"MUNICIPIO",130300,"6.000",""
"44",2015,"MUNICIPIO",130310,"20.800","3.121"
"45",2015,"MUNICIPIO",130320,"12.124",""
"46",2015,"MUNICIPIO",130330,"",""
"47",2015,"MUNICIPIO",130340,"106.000",""
"48",2015,"MUNICIPIO",130350,"",""
"49",2015,"MUNICIPIO",130353,"15.698","5.000"
"50",2015,"MUNICIPIO",130356,"",""
"51",2015,"MUNICIPIO",130360,"",""
"52",2015,"MUNICIPIO",130370,"",""
"53",2015,"MUNICIPIO",130380,"",""
"54",2015,"MUNICIPIO",130390,"9.339",""
"55",2015,"MUNICIPIO",130395,"12.781",""
"56",2015,"MUNICIPIO",130400,"8.000",""
"57",2015,"MUNICIPIO",130406,"14.988",""
"58",2015,"MUNICIPIO",130410,"",""
"59",2015,"MUNICIPIO",130420,"",""
"60",2015,"MUNICIPIO",130423,"9.850","7.850"
"61",2015,"MUNICIPIO",130426,"",""
"62",2015,"MUNICIPIO",130430,"17.163",""
"63",2015,"MUNICIPIO",130440,"",""
